Yorum,Duygu
sýnmasý normal bu sýcaklarda soðutucu þart,1
Batarya ne yazikki yeterli deðil  Diðer özellikler çok iyi tavsiye ederim  Fiþe takmadan oyun oynayamazsiniz haberiniz olsun ,1
Ürün performans fiyat ürünü sadece ips ekran olmasýný isterdim 144hz ama ips deðil yýldýzýn birini ordan eksilttim,1
Ürünle ilgili genel bir sorun yok fakat satýcý için ayný þeyi söyleyemiyorum fatura adresini deðiþtirmemesi büyük sorun büyük sýkýntý,1
Ürün fiyatý na göre gayet iyi ben çok beðendim,1
Ürünü 1 aydýr kullanýyorum  Beklentilerimi karþýladý  Oyun oynuyorum diyorsanýz bir çok yüksek performans gerektiren oyunlarý yüksek grafiklerde takýlmadan gayet rahat bi þekilde oynayabilirsiniz  Ekraný beðendim renkleri fena deðil  Pil ömrü yüksek parlaklýkta 4-5 saat gidiyor  Kasa malzemesi güzel kaliteli hissettiriyor  Soðutmaya gelirsek Gta V gibi oyunlarda Excalibur Control Center uygulamasýndan Performans moduna alýrsanýz iyi bir soðutma saðlasa bile ýsýnýyor ve fanlarýn sesi bariz bi þekilde duyuluyor  (Ben kulaklýk taktýðým için bi sorun yaþamýyorum bu konuda) Kýsaca alaný çok olsun uzun ömürlü ayný zamanda oyun da oynayayým diyorsanýz gayet ideal bi cihaz tavsiye ederim ,1
Arkadaþlar ürünü Hepsiburada sayesinde uygun bir fiyata aldým  Ýlk izlenimim biraz ýsýnmasý var ama fanlarý çok saðlam çalýþýyor yük altýnda  ancak bu da ses yapýyor orasý bir gerçek  Boþta iken fan sesi vesaire kesinlikle normal bir seviyede  FreeDos geliyor bilgisayar  hiç anlamayan arkadaþlar bile yapabilir basit bir iþlem  16 GB bir usb ye rufus ile windows u yazdýrýn  youtube dan yararlanabilirsiniz 10 dklýk iþlem  Daha sonra usb yi takip bilgisayarý açýn kendisi otomatik boot device aradýðý için otomatik olarak windows kurulumu baþlýyor  Eðer baþlamazsa boot menüden yapabilirsiniz yine youtube dan faydalanarak  Daha hiç oyun oynamadým sadece lolde denedim en yüksek ayarda ilk dakikalarda 450 fps verdi (þaþýrdým açýkçasý) daha sonra 250-300 bandýna stabil bir þekilde düþtü  Diðer oyunlarda da sýkýntý yapacaðýný düþünmüyorum güçlü bir cihaz alanlara hayýrlý olsun umarým ileride sorun çýkartmayacak bir cihaz olur ,1
Ürünü yaklaþýk 10 gündür kullanýyorum  Bilgisayar freedos geldiði için W11 kurulumunu kendim basit bir þekilde hallettim kutunun içinden çýkan driver sürücülerinin yüklü olduðu usb ile içinde yükleme talimatlarý olan dosyalarý kolay bir þekilde kurulumunu yaptým  Bilgisayarýn kasasý gayet zarif bir þekilde tasarlanmýþ görünüþü gayet tatmin edici  Klavye ýþýklandýrmasý gayet güzel  Oyun performansýna gelecek olursak deneyimlediðim oyunlarýn fps deðerleri þu þekilde Pubg en düþük ayarlarda 80-100 arasý fps veriyor uzun süre oynadýktan sona bazen 40-50 civarýna düþtüðünü bile gözlemledim  Cs go en düþük grafik ayarlarýnda 250-300 fps veriyor  Valorant denedim fakat hatýrlamýyorum ama gayet akýcý bir þekilde oynanabiliyor  Fanlar biraz sesli çalýþýyor ama zaten genelde oyun bilgisayarlarýnda böyle olduðu için ben takýlmadým buna  Genel olarak fiyatýna göre performansý iyi diyebilirim  Ekran kartýnýn 3050 olmasý size üst düzey performans alacaðýnýz hissi vermesin ayný özelliklerdeki 1650 ekran kartýndan fps olarak çok fazla fark maalesef yok ,1
Kasa malzemesi metal diye okumuþtum metal deðilmiþ ama yinede cihaz çok hoþ daha önce laptop kullanmamýþ olanlar için fanlarýn sesi yüksek gelebilir ve cihaz isinabilir korkmayýn bu kadar güçlü bir bilgisayarý bu kadar küçük bir forma sýðdýran mühendisler soðumasýnýda hallediyor ben þuan çok memnunum ,1
Tavsiye ederim  Ýþlemci güçlü ekran kartý yeterli  Fan sesi beni rahatsýz etmedi  belki oyun oynarken bir miktar daha fazla fan sesi gelebilir  Kasa kalitesi fena deðil  Kargo hýzlý,1
Maras merkezli deprem nedeniyle hayatini kaybeden herkese bas sagligi diler  maddi ve manevi hasar almis herkese de gecmis olsun dileklerimi iletirim  Bilgisayari kardesim icin aldim  Depremden sonra online egitime gecilecegi icin muhendislik bolumunu bilgisayarsiz yapamayacagini fark ettik  Yani kullanacagi programlar icin ideal oldugunu dusunduk ve haksiz cikmadik  AutoCad vb programlarda sorunsuz oldugunu soyleyebilirim  Ancak ilk actigimizda cihazin wi fi modulunun calismadigini fark fark ettik  Ethernet kablosu ile baglayinca surucularin bir kismini manuel olarak indirmek zorunda kaldik  Fp urunu diyebilirim,1
Bu fiyata kaçýrýlmayacak bir cihaz olduðunu düþünüyorum oldukça yeterli özellikleri bulunmakta Kargo oldukça hýzlýydý ,1
Kýzým için aldik çok beðendi hýzlý olduðunu söyledi tavsiye ediyoruz teþekkür ler cesper,1
Cihaz fiyat performans ürünü  Çok fazla araþtýrýp aldýðým bir ürün  Fan sesi çok fazla  Soðutmasý iyi  Bütün yüksek kalite oyunlarý yükledim oynadým herhangi bir kasma  donma sorun olmadý  Batarya olarak daha iyi olabilirdi  Satýcý sorularýma hýzlý cevap verdi ama kargoyu 15 gün bekledim  Sipariþi iptal edip tekrar aldým 1 gün sonra kargo yapýldý ,1
Yaklaþýk 2 aydýr kullanýyorum  Performans olarak oldukça iyi  Isýnma gayet normal ve makul  SSD 1 TB olmasý da oldukça avantajlý  Görüntü kalitesini oyun ve filmlerde hissediyorsunuz  Ofis iþlemleri ve oyun maksadýyla aldým çok memnunum  Ýþletim sistemi kurulu gelmiyor  Kutu içinde driverlarýn olduðu flash bellek var  Kasa aðýrlýðý  sade ve þýk dizayný tatminkar  Tavsiye ederim  Kargo çok kýsa sürede geldi  ambalaj içinde saðlam paketleme yapýlmýþ  Kendi kutusu da oldukça saðlam  Teþekkürler,1
Ürüne diyecek laf yok tek kelime mükemmel,1
Harika bir ürün  Fiyat-performans ürünü olarak mutlaka tercih edilmeli   Dizayný þýk  batarya herkezin de belirttiði gibi bataryasi biraz az gidiyor ama sorun olacak bir durum deðil bence ,1
Ürün cok güzel gercekten bu fýyata kaçýrmayýn ama eger aile evýdeysenýz masa ustu daha iyi bilginiz olsun cok oyun oynayan býrý degýlsenýz bu idaldir ýsýnma konusunda dogrudur ýsýnýyo baya fan açabýlýyosunuz fn 1 le iþ goruyo bence bu fýyatý kaçýrmayýp alýn derým,1
Ürün harika  paketlemesinden tutun herþeyi mükemmel tam bir fiyat performans ürünü  fan sesi birazcýk fazla geliyor ama bu doðal bence  rahatlýkla alabilirsiniz :),1
Ürün gercekten güzel 2 haftadýr kullanýyorum ve memnun kaldým bekletimin üstünde bir performansa sahit bir cihaz fan sesi Bi sýk fazla ama onuda hoþ görmek gerekiyor Ekran kartý gercekten hakýný veriyor,1
Cihaz çok kaliteli fan sesi rahatsýz etmiyor grafikler çok iyi kaliteyi hissedeceksiniz,1
Ürün harika bu fiyata bu cihaz tam bir fp tavsiye ederim freedos geliyor ben win 10 kurdum daha rahat geliyor tavsiye ederim biraz fanlý çalýþýyor ama gaming pc olur o kadar,1
ürün sorunsoz güzel bir paketleme ile zamanýnda teslim edildi  kuzenim için aldýk memnun kalacaktýr ,1
Tek sýkýntý biraz faz sesi güç seçeneklerinden halederim Mükemmel bilgisayar,1
Özellikle Casper müþteri hizmetlerinde çalýþan Emine hanýma çok çok teþekkürlerimi iletiyorum  Ýlgisinden dolayý bilgisiyar alüminyum alaþým ve su an piyasada alýnabilecek en iyi fiyat performans ürünü hiç düþünmeden alabilirsiniz ,1
Ürün sesli çalýþýyor  Fanlar çok ses çýkarýyor  Bunun dýþýnda herþey muhteþem,1
Ürün çok iyi kasma donma ýsýnma yok,1
Herþeyiyle on numara bir laptop Fan sesinden rahatsýz olanlar 5-10k fazla verip ince rtx serileri alabiliyorsa alsýn Ama yoksa el mecbur bu sese katlanacaksiniz Belki de tek eksik bu,1
Yeni geldi ürün pazar akþam alýndý salý öðlen elimdeydi freedos olmasý biraz uðraþtýrýcý onun haricinde kullandýkça göreceðiz,1
Ürünü çok ucuza aldým mükemmel fiyat performans ürünü,1
Zam gelmeden kaçýrýlmamasý gereken bir ürün,1
Hýzlý teslimat güzel ürün,1
Ürün Paketlemesi güzeldi ve tahmini teslimat süresinden çok önce elime ulaþtý Teþekkür ederim ,1
Fiyatýna göre gayet güzel bir bilgisayar,1
Sadece sesi bazen çoðalýyor  Çok güzel bir ürün teþekkürler ,1
Gayet güzel bir bilgisayar  Ýndirimi yakaladým çok güzel oldu  Casper ve hepsi buradaya teþekkürler ,1
Harika çok beðendim,1
Harika bir bilgisayar düþünmeden alabilirsiniz,1
Güzel kargo çok hýzlý geldi teþekkürler,1
ürünün fanlarý gürültülü sadece onun dýþýnda mükemmel,1
Beklentimin çok ötesinde  rdr2'yi çoðu ultrada çalýþtýrdý sadece bir kaç ayarda ultra yapamadým high da kaldý ekran kartýnýn 4 gb olmasýndan dolayý o ayarlar da 8 gblik ekran kartlarýnda açýlabiliyor zaten O ayarlarýn açýlmýþ halini de gördüm hemen hemen hiç bir fark yok diyebilirim  Ýþlemciyi rami ve ekran kartýný sonuna kadar doldurdum arkada bi sürü þey açtým (4k videolar programlar gibi) onlar açýkken oyun oynadým videolar bir süre sonra durmuþtur tabi ama bu þekilde 3 saat full ayarlarda rdr2 oynadým makina doðal olarak biraz ýsýndý fanlar ses yaptý ama ekrana yansýyan en ufak bir olumsuzluk olmadý oyundan çýktým fanlar birkaç saniye sonra yavaþladý sonra makinayý kapattým iki üç saniyede kapandý  Olumlu yönleri bunlar  Olumsuzluk olarak capslock ýþýðý yok  iki tane usb giriþi var en azýndan üç olmalýydý fiþe takýlý deðilken rdr2 çok kastý (bunda güç yönetimi ayarlarýnýn da etkisi vardýr muhakkak ama yine de o kadar kasmamalýydý) ben 23 e aldým parasýný hakediyor bence  benim önceliðim oyun deðil ama yine de bu makinayý tercih ettim arada bir oyun oynarým belki diye  Nadiren oynayacaðým oyun da zehir olsun istemedim aksýn istedim ve akýyor tavsiye ederim ,1
20 güne yakýn zamandýr kullanýyorum  çok memnunum  Tasarým gayet iyi  ekran 15 inç  Görüntü kalitesi süper  videolarý 8K çözünürlük ile izleyebiliyorsunuz  Klavye gayet iyi control center üzerinden ister rgb ister kendi renk kombinasyonunuzu oluþturup kullanabiliyorsunuz  Ses sistemi mükemmel  ses klavyenin üst tarafýndaki boþluktan çýkýyor ve kaliteli ses geliyor  Touchpad bazen tepki vermiyor alacaksanýz mouse ile kullanmanýzý öneririm  2 tane USB giriþi bulunuyor yetersiz gelebilir ancak bana yetti  Isý deðerleri iyi þu an yaz günlerinde olduðumuz için etki ediyor sýcaklýða ancak turbo fan modu yapmýþlar onu açtýðýnýzda (fn+1 tuþlarý ile açabilirsiniz) baya baya ýsý düþüyor  Eksi yönü þu ki batarya acayip hýzlý bitiyor kullanacaksanýz mecbur adaptöre baðlý kullanacaksýnýz  FPS deðerlerine gelecek olursak ,1
Alacaklara önerimdir piþman olmazsýnýz  ,1
Ürün gayet iyi ekraný þahane 20binken almýstým ama bu fiyatada alýnabilir mis gibi laptop,1
Ürün zaten baþlý baþýna bir efsane onu anlatmaya gerek yok  sadece kargo paketlemesi biraz iyi olabilirdi ,1
Cok iyi ve kaliteli ürün 2 gunde rlime geldj tam bir fp laptopu tek sýkýntisi batarya ve fan sesi ama kulaklik takinca duymazsiniz zaten,1
Urunu 6 aydir kullanýyorum memnun olmadigim tek seyi fani fan spiral araliklari cok dar oldugundan toz kolay yapisiyor ve fanin isleninin onune geciyor onun disinda performans ve diger seyler guzel acamadigim oyun yok,1
Ürün fiyat performans ürünü  Satýcý ilgili  Özenle paketlendi ve hýzlýca teslim edildi  Bir tek ürünün indirime girmesi üzdü  O da kýsmet ,1
Ürün gayet baþarýlý bildiðim ürün twkrar arkadaþýma satýn aldýk  Þuanki fiyatý çok güzel yakaladýk  Hepsiburada sayesinde ,1
Bu fiyata baþarýlý ürün tabi iþlemciyi keþke en az i7 olsa daha iyi olurdu ama olsun baþarýlý,1
Ekran boyutu dýþýnda herþey gayet güzel,1
Guzel ve kaliteli bir urun   ,1
Güzel cihaz  Hýzlý kargo ,1
Cpu-z okuyamadý ama anladýðým kadarý ile Ram tek modül  Bu paraya idare eder,1
Daha ileri düzey bir batarya sistemi olabilir,1
Gerçekten fiyat performans ürünü tavsiye ederim,1
22 Mart'ta hýzlý ve sorunsuz bir þekilde ulaþtý   Her þey gayet güzel lakin þarj çok gitmiyor haberiniz olsun   Performans olarakda çok iyi   Monster la kafa kafaya bence piþman deðilim memnunum,1
Ürün ön numara ama USB flaþ bellek arýzalý geldi ama satýcý yardýmcý olmadý,1
Çok güzel bizim çocuklar çok beðendi oyun oynarken hiç kasmýyor diyor,1
Batarya þarj süresi biraz daha uzun gitse güzel olabilirdi  Birde faný çok sesli çalýþýyor  Ultra seviyede bir çok oyunu oynayabiliyorsunuz,1
Bataryasý hýzlý bitiyor ama yinede kullanýþ li,1
Ürün fiyat performans ürünü gayet baþarýlý yalnýz tasarým olarak biraz daha özen gösterilebilirdi ,1
Batarya sorunu haricinde 5/5,1
Güzel paketleme hýzlý kargo,1
Rahatlýkla alabilirsiniz benimde þüphelerim vardý yanýlmýþým ýsýnmasý gayet normal derecede kaliteli bir ürün uygun fiyata aldým hepsiburada sayesinde baþka yerlerde 5 bin lira farkla satýyolar burda uygun fiyata deðerlendirin derim,1
Batarya disinda muazzam bilgisayar batarya cok kotu hemen bitio 2 saat anca onun disinda mükemmel pc hiz islem rahatca yapabilirsiniz herseyi,1
Pili uzun süre oyun oynarken yetmiyor ve baya ýsýnýyor ama bunlar çözülebilir sorunlar ,1
Laptop güzel yanlýz þarjý full olsa bile þarj takýlý olmadan oyun oynatmýyor çok kasýyor,1
Ürünü 1 aydýr kullanýyorum  Paketlemesi gayet güzel hýzlý bir þekilde elime ulaþtý ,1
Touch pad kronik sikinti var,0
Cok iyi sadece batarya cok cabuk bitiyo zaten oyun oynayacaksan sarjda oyna onun disinda ekran karti performansini dusuk tutsam bile cs 250-350 fps valorant en az 200fps cod oyunlari ortalama 150 fps rdr2 60-80 fps  Tek bir sorunu var o da cok isiniyor ki zaten laptopsa tabi isinacak ekran kartini en iyi performansa alinca 90 derecelere kadar cikiyor o yuzden dusuk performansta oynuyorum cok bi farki yok hala iyi kalitede oynuyorum en azindan performans dusukken sicakligi en fazla 75 derece oluyo,1
Bugün elime ulaþtý kargo hýzlý paketleme güvenli biraz daha özenli olabilir yorumlarda kötüleyen çok var yok ses yok kalitesiz bilmem ne bu fiyata alýnabilecek kalite budur parasýný hakediyor ben gayet memnunum çok iyisi çok para bu ürün parasýnýn hakkýný veren ve güzel bir ürün tavsiye ederim insan yanýnda bi hediye gönderir o kadar para verdik ,1
Tam olarak fiyat performans ürünü bu özelliklere göre en uygun en iyi bilgisayar tavsiye ederim ,1
Çok güzel memnun memnun kaldým teþekkürler hepsi burada,1
gayet akýcý tatminkar,1
Ürününün klavye bölmesi arýzalýdýr  Herhangi bir tuþa basýldýðý zaman klavyede alakasýz bir þekilde 6-8 tuþa beraber basýlmýþ gibi algýlýyor ve doðru çalýþmýyordur  Web tarayýcý üzerinden klavye tuþ testi yapýlmýþ olup arýzasý tespit edilmiþtir  kusurlu ürün iade iþlemimde de sorun yaþýyorum  ben yandým siz yanmayýn ,0
Batarya sabit çýkartýlabilir deðil ekran kartý tam bir rezalet 4 GB olduðundan oyun PC deðil ofis PS kesinlikle uzak durun ekran kartýna aldanmayýn araþtýrmadan almayýn,0
"Ürünü daha yeni aldým  Ürün gayet güzel 1 haftadýr kullanýyorum oyun performansý açýsýndan herhangi bir problem yaþamadým  Sistem fanlarýda gayet yeterli  ANCAK, ilk geliþinde freedos(bunu bilerek alýnýz) olarak geliyor içinden bi flash bellek çýkýyor bana gelen bu sistemde flash belleðin içi boþ yada dosyalar düzgün atýlmamýþ  Kendim flash belleðime windows kurup sisteme kurmasaydým akþam akþam boþ bir flash bellekle tam 2 saat uðraþtým  Casper müþteri hizmetleride 5 ten sonra çalýþmadýðý için onlarýn sorununu kendi kendime çözmeye çalýþtým  Alýyorsanýz en azýndan akþam kurmayýn bilgisayarýnýzý aksi hallerde müþteri hizmetlerine baðlanamýyorsunuz ",0
Arkadaþlar adaptörü sýkýntýlý ürün yollamýþlar direkt iade ettim büyük ihtimal ayný þekilde paketlenip baþka birine gidicek ilk dediðimde ürünü garantiye gönderin dediler 2 günlük ürünü garantiye vermek mantýksýz olduðu için vermedim direkt iadeye yolladým burdan almayýn,0
Bilgisayar kurulu olarak gelmiyo olmasý çok kötü kurmak için ayriyetten bir fash bellek bide baþka bir bilgisayara ihtiyacýnýz var 1 1 gün boyunca bilgisayara Windows 11 yüklemeye çalýþtým yüklem yapmazsan  Hiç açýlmýyo çok saçma bence,0
Freedos kurulumu için gönderilen flaþa bellekten kurulum yazýlamýyor kesinlikle almanýzý tavsiye etmiyorum ,0
Tam bir rezalet bilgisayar  Almayýn sakýn aldýgýmdan beri sürekli Bios hatasý sürekli yenifen windows yüklüyorum  Þarjý oyun oynamamama raðmen 3 saat dayanýyor  Piþmanlýk,0
Öncelikle oyun için almayý düþünen arkadaþlar varsa kesinlikle bu bilgisayarý düþünmesin ben alarak çok büyük bir hata yaptým oyun harici güzel,0
Ürün ekran kartý arýzalý çýktý deðiþim yapýlmýyor,0
Kalitesiz sürekli ýsýnýyor sürekli bozuluyor arýza verip duruyor kaç kez garantiye götürdüm paranýza yazýk etmeyin daha düþük bir ürün alýn daha iyi performans alýrsýnýz casper excalibur piþmanlýktýr,0
Piþmanlýk,0
Performansý güzel Klavye RGB deðil onu belirtmemiþler o yaný kötü oldu hatta iade etmeyi bile düþündüm ama genel olarak Güzel,1
rtx 4050 veya üstü bir makine bakýyorsanýz yine lenovo kalitesinden þaþmayýn derim  msi bravo rtx 4050 aldým  etiket msi kalite pazar malý  millete inandýk acer nitro 3070ti aldýk  bios ekraný bile rezil kepaze boþta 70 derece çeviren bir üründü yükte ise fiyatý ucuz olsa tarihin en karlý ýsýtma ürünü olabilir 95 100 derece  Bu ürün hem soðuk kalýyor  hem de fps stabil  evet bunda rtx 4050 ve i5 var ama üst serileri mevcut  mutlaka bütçeniz artarsa rtx 4060 vb içinde üst modellerine bakýn  etiketinde msi  asus vb  giriþ seviye laptoplara boþ yere para vermeyin Hepsiburada saðolsun kolay iade alýyor ama her seferinde kur sýfýrýla gönder bekle gereksiz ,1
Bilgisayar gerçekten baþarýlý  Victus 3060 ryzen 5 5600 den buna geçtim  hem kalite hem performans anlamýnda büyük fark var  Valorant full grafikler 300 fps  cyberpunk ultra dlss açýk 100 kapalý 75 fps civarý veriyor  Fan sesi diðer rakiplerine göre oldukça sessiz  Tek eksi yaný ses kalitesi diyebilirim  Bas konusunda biraz zayýf  Windows 10 asla yüklemeyin  cihaz yeni seri olduðu için pek çok driverý windows 10 için yok ,1
Kaðýt üzerinde daha iyi özelliklere sahip bilgisayarlar olabilir  Ancak ben Lenovo kalitesini tercih ettim  Çok memnunum  Boþtayken 38-42 derecelerde  Red Dead Redemption 2 oyununda ultra ayarlarda DLSS Kalite 85-100 FPS  Saatlerce oynadým sýcaklýðýn 78-79'u geçtiðini görmedim ,1
RTX4050 Bir ekran kartýna sahip en uygun laptop diyebilirim hýz vs çok iyi oyunlarda fps deðerleri gayet memnun edici SSD arttýrýlabilir galiba gördüðüm tek eksik bu,1
Eline alýnca diðer markalara göre kalitesinin farkýný hissediyorsunuz  bu fiyata alýnabilecek en f/p ürünü bence  Çift fanlý oluþu güzel ýsýnma problemi yaþamadým henüz  Ssd arttýrýlabilir zaten çift slotlu  Ram 5200mhz olmasý çok hoþuma gitti  Memnunum,1
Bilgisayarlardan pek anlamýyorum  driverlari yuklemem 5 saatimi aldý  Her þey hazir olduktan sonra 2 saat Dark Souls Remastered oynadým ve genel performansý oldukça tatmin ediciydi  Eminim birçok ayarý yanlýþ yapmýþýmdýr ama yine de hýzlý hissettiriyor ,1
13 Nesil iþlemciye sahip olmasý ve ekran kartýndan dolayý bu ürünü aldým  Uzun yýllar sizi idare edebilecek bir ürün ,1
F/P ürünü RTX 4050 yeni nesil ram 5200mhz çok hoþuma gitti ekraný ips çok iyi,1
Driverlarý Windows 10' a kurmak tam bir iþkence  Direkt Windows 11 kurun(mause baðlamanýz gerekiyor)  Windows 11 kurarken ethernet kablo baðlantýsý isteyecek wifi driverý yüklü olmadýðý için  Ýnternet olmadan kurma problemi çözmek için forumlarda biraz aratýp halledebilirsiniz  Valorant full ayarlarda 250-300 FPS aldým  Fan turboya geçtiðinde aþýrý gürültülü(3 tane monster kullandým onlarda bile o kadar deðildi)  Turboya kolay kolay geçmiyor zaten  Google vs  için fan bile açmýyor  Oyunda iþlemci sýcaklýðý max  75 gördü  bence laptop için çok iyi bir deðer  Ekran kartý ise 55 derece civarlarýndaydý ,1
Memnun kaldým üründen ,1
Ürün gayet kaliteli bu fiyata alýnacak en iyi cihaz bir þey beni hayal kýrýklýðýna uðrattý o da klavyenin rgb olmamasý tek renk (beyaz) var onun haricinde lenovo kalitesine diyecek bir þey yok,1
Isýnma problemi ve oyun oynarken sarz takýlý olmayýnca o kadar akýcý olmuyor diðer özellikleri güzel,1
Performansý güzel Klavye RGB deðil onu belirtmemiþler o yaný kötü oldu hatta iade etmeyi bile düþündüm ama genel olarak Güzel,1
Üründen çok memnun kaldým Kesinlikle tavsiye ediyorum Çok pahalý cihazlar almaya gerek yok iþ için gereken cihaz budur ihtiyacý olanlar için teþekkürler Hepsiburada,1
fiyatý çok iyi çok güzel bir bilgsayar yeni üretim 2023 mart ayýnda ðretilmiþ,1
Ürünün kalitesine diyecek lafým yok  Eksi yönü sadece ses  M2 SSD olmasý cihazýn hýzýna hýz kattý Ryzen 3 ama 7  Seri olmasý harika,1
Ürün hýzlý  performansýni beðendik  özellikleri muadillerine göre daha iyiydi ,1
mükemmel,1
Ürünün pil ömrü orta seviye görüntü kalitesi baya iyi hafýza sýnýrlý ama ders çalýþmak ve office için ideal fazlasý için beklentiyi karþýlamaz son derece hýzlý bir bilgisayar bu anlamda güzel indirimden aldým parasýný hakediyor tasarým olarak çok ince ve hafif satýcýya hýzý ve paketleme özeni için teþekkürler,1
Klavye ýþýklý deðil ona göre alýn ,1
Güzel bir ürün beðendim açýkçasý,1
"Ekranda ýþýk sýzmasý dahi yok  Soðutma mükemmel-140 w grafik kartý-3 ms 165 hz 2k ekran süper  Aliminyum kasa- 330 w adaptör  Diðer laptop markasýna sadece ismi için para ödemeyin  Makine süper  Ha bu arada diðer markanýn birçok modelinde ekranlar 7 ms ,)",1
Her yönden güzel memnun kaldým oyun performansý güzel,1
Cihaz herþeyiyle on numara,1
Merhaba ürünügenel tez yazmak için aldým fakat ürünü açtýðýmýzda hoparlöründen pýt pýt sesler gelmekte ve hoparlör olan kýsýmlari ýsýnmakta (berbat bir koku oluþmakta) ürüne ihtiyacým olduðu için geri göndere medim,0
Ürün çok hafif ve inanýlmaz bir performansý var  pc win 10 ile herþey kurulu 15sn de açýlýyor  win 10 kurunca wifi otomatik kurmuyor onun için ayný ürünün win 11 sürücülerini bulup kurabilirsiniz win 11 sürücüleri win 10'u da destekliyor ama hp sayfasýnda sanki sadece win 11 destekleniyor gibi yazar  aldýrýþ etmeyin win 11 sürücüleri win 10 a da oluyor  Ben ürünün wifi aygýtýnýn olmadýðýný zannetmiþtim ki satýcýya mesaj attým 2 dakkikada cevap verdi  takdir ettim ancak kargo ücreti almasaydý iyyidi  neyse diyelim ilgisine alakasýna verdim  ssd hýzýný teknik olarak test etmedim ama þunu diyebilirim 1 2 gb lýk bir rar dosyasýný C den D ye kopyalarken kopyalanýyor ilerleme çizgisini dahi görmedim  ram onboard mý deðilmi bilmiyorum ama 8gb ddr5 5500 mhz hýzýnda ,1
Ürün yarýn kapýnda ile ertesi gün elime ulaþtý hafif ince ve kibar kurulumu win 11 yaptým tüm driver ve ayarlarýný yaptýktan sonra asetta corsa ve csgo oyunlarýný deneme fýrsatým oldu oyunlarý en full ayarlarda ve kasmasan donmadan oynatmayý baþardý bir gaming pc degýl ama gayet baþarýlý ve yeterlý almak isteyenler orta kullaným için arýyorsa düþünmeden alabýlýr,1
Ürünü kurulumunda wifi problemi yaþayabilirsiniz  Flash bellek ile yüklemeniz gerekiyor  Müþteri hizmetleri yardýmcý oldu  Ürün genel kullaným için harika ,1
Mükemmel ötesi hiç düþünmeden bu fiyata alýn elinize geçince iyiki almýþým diceksiniz emin olun ,1
Fiyatýna göre çok çok iyi  Beklentimin de ötesinde ,1
Ürüne söylenecek biþey yok  Fiyat performans cihazý  Ýþ görür idare eder ,1
Oyun hariç günlük iþler için uygun iþletim sistemi olmadan geliyor bilgisayarcýya gidip 300 tl ye win 11 yüklettim,1
Fiyata göre ideal,1
Ürün freedos geliyor ben Windows 11 tercih ettim yükledim  gayet hýzlý hafif günlük hayatta kullanýlabilecek tarzda  fakat oyun bilgisayarý deðil ben oyun oynamadýðým için tercih ettim çok memnunum üründen fiyat performans ürünü,1
Fiyat performans ürünü  Ýndirimli zamanda aldým ,1
Cihaz fiyatýna göre iyi  Eth portu yok type c den görüntü vermiyor ve þarj olmuyor sadece depolama amaçlý USB olmuþ  Ram artmýyor  SSD gen4 ve gayet hýzlý  Ekran IPS deniyor ama a-si TFT teknolojisi  Ses tatminkar  Testler gayet olumlu  Bu fiyata ddr5 bulmak zor  Ýnce hafif ,1
Yaklaþýk 1 haftadýr kullanýyorum  Fiyatýna göre bu günün þartlarýnda alýnabilecek en iyi bilgisayar  Ekran kalitesi kötü  bakýþ açýnýz deðiþince görüntü bozuluyor  Harici monitör kullandýðým için bana sorun deðil  Ýþlemcisi ve gömülü gpu bu fiyat için gayet iyi  Ram ddr5  bu fiyata gerçekten iyi ,1
Ürün gayet güzel oyun oynanmaz bilginin yer lsun mikrafon yok telefon kulakligiyla mikrafon oluþturuyorsunuz iþ görüyor,1
Elime dün ulaþtý win 11 pro kurdum  cihaz oldukça hafif win11 kurduðunuz anda telefonla usb baðlantýsý ile internet paylaþýp driver güncellemeniz lazým çünkü laptopda LAN giriþi yok Wifi ise güncelleme ile geliyor  Ben programlama üzerine alýþýyorum oyun performansýný denemedim ofis iþleri için iyi baþlangýç bilgisayarý denebilir,1
Ürün sorunsuz bir þekilde bana ulaþtý Üründen Genel olarak fiyatýna göre menmun kaldým Tek sorun ekranýn ips panel olduðu belirtilmiþ fakat aþaðý ve yukarý açýlardan bakýldýðýnda görüntü ciddi anlamda bozuluyor  ürün daha çok tn panel kývamýnda bir ekrana sahip ,1
Ürün sorunsuz bir þekilde bana ulaþtý Üründen Genel olarak fiyatýna göre menmun kaldým Tek sorun ekranýn ips panel olduðu belirtilmiþ fakat aþaðý ve yukarý açýlardan bakýldýðýnda görüntü ciddi anlamda bozuluyor  ürün daha çok tn panel kývamýnda bir ekrana sahip ,1
Ürünü genel anlamda beðendim ama tedarik süreci çok uzun sürdü,1
M2 pcie 4 0 olmasýna raðmen çok yavaþ ,0
Windows 11 kurduktan kýsa bir kullaným sonrasý  günlük iþler  Word  ofis vb kullaným için uygun bir cihaz  Klavyesi ve ekran menteþeleri hoþuma gitmedi ,1
Notebook güzel ve zarif office programlarý vs için idealdir  ,1
Ürün hýzlý güzel ofis ve küçük oyunlar için ideal ekran ýps yazmýþlar ýps deðil tn panel gibi þarjý hýzlý bitiyor gibime geldi alýnýrmý bu fiyata alýnýr evet,1
Ürün donaným olarak laf yok ama  plastik kasa ve klavye çok güven vermiyor ,1
