SINIF,YORUM
Heavy Snow,Snowfall amounts between 14 and 20 inches were observed across several locations throughout the county. The highest accumulation report was recieved out of the Athens area
Winter Weather,Multiple vehicle accidents were reported across portions of southeast West Virginia and far Western portions of Virginia due to snowy and icy conditions. Snow squalls coupled with temperatures in the mid-20's were determined to be the primary cause of an accident with injuries near the Country Club in Tazewell County. Multiple tractor trailers reported having issues along Falls Mills Road according to Tazewell County Warning Point.
Winter Weather,CoCoRaHS station McMinnville 8.5 ESE measured 1.2 of snow in the early morning hours on January 10.
Winter Weather,A COOP observer 1 mile west of Dover measured 0.5 of snow.
Winter Weather,Several Facebook reports indicated 0.25 to 0.5 of snow accumulated in Clarksville.
Cold/Wind Chill,
Winter Storm,Snowfall amounts between 3 and 6 inches were observed across several locations throughout the county. The highest accumulation report was recieved out of the Eden area
Winter Storm,Snowfall amounts between 4 and 6 inches were observed across several locations throughout the county. The highest accumulation report was recieved out of the Yanceyville area
Heavy Snow,Snowfall amounts between 16 and 19 inches were observed across several locations throughout the county. The highest accumulation report was recieved out of the Natural Well area
Heavy Snow,Snowfall amounts between 15 and 18 inches were observed across several locations throughout the county. The highest accumulation report was recieved out of the Millboro
Winter Storm,Storm total snowfall was perhaps most impressive in southwest Utah
Avalanche,A 50-year-old male skier went missing in the Park City area on the afternoon of January 31. After two days of searching
Winter Weather,A light glaze was reported on metal surfaces in Watha.
Winter Weather,An eighth of an inch of ice was reported on Chime Drive in St Pauls.  In Red Springs
Thunderstorm Wind,The Silver Strand mesonet reported a thunderstorm wind gust of 59 mph.
Thunderstorm Wind,The mesonet station at Mission Trails reported a 68 mph thunderstorm wind gust.
Thunderstorm Wind,A 59 mph thunderstorm wind gust reported at the Anderson Valley mesonet.
Thunderstorm Wind,Multiple trees down on Commerce Road south of Highway 57.  Also a few trees and a powerpole down on Fletcher Drive.
Thunderstorm Wind,Trees down all over Kenn-Tenn Highway
Thunderstorm Wind,Trees down on houses and cars at HWY 431 and Capps Road. In addition
Thunderstorm Wind,Trees blocking roadway at Divider
Thunderstorm Wind,Many trees down across Obion County.
Thunderstorm Wind,Trees down in Germantown.
Thunderstorm Wind,Estimated 50 to 60 mph gust.
Winter Storm,Snow totals between 5 and 10 inches were measured across Davidson County. A COOP observer in Joelton measured 10 inches of snow
High Wind,The WYDOT sensor at County Road 402 measured sustained winds of 40 mph or higher
High Wind,The sensor at Elk Mountain measured sustained winds of 40 mph or higher
High Wind,The WYDOT sensor at Foote Creek measured sustained winds of 40 mph or higher
High Wind,The WYDOT sensor at Foote Creek measured sustained winds of 40 mph or higher
High Wind,The WYDOT sensor at Halleck Ridge measured sustained winds of 40 mph or higher
High Wind,The WYDOT sensor at Halleck Ridge measured sustained winds of 40 mph or higher.
High Wind,The WYDOT sensor at Strouss Hill measured sustained winds of 40 mph or higher
High Wind,The WYDOT sensor at Wagonhound measured sustained winds of 40 mph or higher.
Funnel Cloud,Funnel cloud sighted and photographed. No clear evidence of a tornado touchdown.
Hail,Lots of hail on the ground
Funnel Cloud,Two funnel clouds were observed about 1/2 mile away from the observer. One funnel came close to the ground but he could not confirm a touchdown.
Hail,Hail fell to 2 to 3 inches deep in Corning
Hail,Large amounts of hail fell and accumulated
Winter Storm,One to three inches of snow fell across the area.
Winter Weather,Up to an inch of snow fell.
Winter Weather,Up to an inch of snow fell.
Winter Weather,Up to an inch of snow fell.
Winter Weather,Up to an inch of snow fell.
Strong Wind,
Strong Wind,
Strong Wind,
Strong Wind,
Strong Wind,
Flash Flood,After scattered to numerous showers produced around an inch of rain across Caldwell County in about 24 hours
Flash Flood,After scattered to numerous showers produced 1 to 1.5 inches of rain across western Rutherford County in about 24 hours
Winter Weather,Precipitation from a low pressure system moving north from the Tennessee River Valley began as snow early Monday afternoon as it ran into colder air established over the area the previous few days.  A strong southerly flow associated with this low brought with it very warm air
Winter Weather,Precipitation from a low pressure system moving north from the Tennessee River Valley began as snow early Monday afternoon as it ran into colder air established over the area the previous few days.  A strong southerly flow associated with this low brought with it very warm air
Heavy Snow,A three inch snowfall was reported at Roan Mountain.
Heavy Snow,A seven inch snowfall was measured at Mount LeConte.
Heavy Snow,Three inches of snow was measured at Parrottsville.
Heavy Snow,Four inches of snow was reported at Mountain City.
Heavy Snow,Three inches of snow was reported one mile northwest of Ducktown.
Heavy Snow,Four inches of snow was reported one mile east of Damascus.
Winter Storm,
Winter Storm,
Winter Storm,
Winter Storm,
Winter Storm,
Winter Storm,
Thunderstorm Wind,Trees on Glenwood and Wachusett Streets in Rutland were downed by thunderstorm winds.
High Wind,Trees in Hubbardston were downed by high winds.
Thunderstorm Wind,A tree limb on Orlando Street in Springfield was downed onto wires by thunderstorm winds.
Flash Flood,Farm to Market Road 2422 from Highway 80 to Farm to Market Road 1804 east of Mineola was closed due to a washout.
Cold/Wind Chill,A missing rural Portage woman was found dead near a frozen stream. She had been missing since Jan. 28th. The Columbia County Medical Examiner's office reported Hypothermia was a major factor in her death with alcohol a contributing factor. Low temperatures the morning of Jan. 29th were in the single digits Fahrenheit. Otherwise temperatures ranged from the 20s to the 40s during the remainder of time she was missing.
Thunderstorm Wind,In Richboro
Blizzard,
Blizzard,
Blizzard,
Flash Flood,Farm to Market Road 855 north of Highway 175 to just south of Farm to Market Road 3198 was closed due to flooding.
Heavy Snow,A trained spotter in Edgewood Iowa reported 7.5 inches of snow that fell during the morning hours February 2nd through the overnight hours. During the mid morning hours  February 2nd
High Wind,ASOS and AWOS observations from eastern Iowa airports along and north of Interstate 80 began reporting winds gusts of 50 to 60 mph around 11 am and continued through around 3 pm. The peak winds for all areas occurred around 1 pm. In addition
High Wind,ASOS observations from eastern Iowa airports along and north of Interstate 80 began reporting winds gusts of 50 to 63 mph around 11 am and continued through around 3 pm. The peak winds for all areas occurred around 1 pm. A tree was partially uprooted at the University of Iowa Campus.
High Wind,A trained spotter reported a wind gust measured at 62 mph 1 east southeast of Nora
Hail,
Hail,
Heavy Snow,Snowfall amounts across the county ranged from 9 to 12 inches.  The highest snowfall amount was reported in Benkelman and Haigler.
Blizzard,Used the visibility report from the McCook ASOS as a proxy for the conditions across Hitchcock county
Winter Weather,The CoCoRaHS observer southwest of Lynchburg measured 3 inches of snow. The ODOT county garage near Hillsboro had 2.2 inches of snow
Winter Weather,The ODOT county garage south of Piketon measured 1.5 inches of snow
Winter Weather,A public report from Beavercreek measured 3 inches of snow. A spotter in Xenia and a CoCoRaHS observer both had 2.5 inches
Winter Weather,The CoCoRaHS observer south of New Albany measured 2.8 inches of snow
Strong Wind,
Strong Wind,
Strong Wind,
Strong Wind,
Heavy Snow,
Winter Weather,Snow amounts of 1 to 3 inches were measured across DeKalb County. A COOP observer measured 2.5 inches of snow in Smithville. CoCoRaHS station Dowelltown 5.8 NE measured 1.6 inches of snow
Winter Weather,Snow amounts of 1 to 3 inches were measured across White County. A COOP observer measured 2.2 inches of snow in Sparta. CoCoRaHS station Sparta 8.6 NW measured 1.4 inches of snow
Winter Weather,Snow amounts up to 2 inches were measured across Perry County. A COOP observer measured 1.4 inches of snow in Lobelville. CoCoRaHS station Linden 7.9 NNW measured 0.5 inches of snow.
Winter Weather,Snow amounts up to 2 inches were measured across Hickman County. A COOP observer measured 1.0 inches of snow 4 miles northeast of Centerville. CoCoRaHS station Bon Aqua 3.0 ESE measured 0.9 inches of snow
Winter Weather,Snow amounts of 1 to 3 inches were measured across Williamson County. A COOP observer measured 1.5 inches of snow in Franklin. CoCoRaHS station Nolensville 1.0 NNW measured 3.0 inches of snow
High Wind,
High Wind,
High Wind,
Flash Flood,Secondary roadways inundated by water.
Hail,
Hail,
Hail,
Flash Flood,A city park was reported under water with up to 3 feet of water present. At least one vehicle was stranded.
Hail,
Hail,
Hail,
Lake-Effect Snow,Cold northwest winds blowing across Lake Erie caused lake effect snow showers to develop during the evening hours of February 9th. The snow began to intensify during the early morning hours of the 10th. Heavy snow fell during the daylight hours of the 10th with visibilities most of the time under a mile and sometimes as low as a quarter mile. Snowfall rates during that period were in excess of an inch per hour. Scattered snow showers continued into the afternoon hours of the 11th but most of the snow accumulation fell before midnight on the 11th.   Snowfall totals of 6 to 10 inches were reported over much of Erie County and the northern half of Crawford County. In northern Erie County
Heavy Snow,
Winter Storm,
Winter Storm,
Winter Storm,
Winter Storm,
Thunderstorm Wind,In Hampden
Thunderstorm Wind,Trees on Lee Lane in Wilbraham were downed by thunderstorm winds.
Thunderstorm Wind,A tree on Somers Road in Hampden was downed by thunderstorm winds.  A large limb on Mill Street was downed.
Dense Fog,Madera Airport (KMAE) ASOS reported less than 1/4 mile visibility.
Marine Thunderstorm Wind,TCOON site at Packery Channel measured a gust to 43 knots.
Marine Thunderstorm Wind,Weatherflow mesonet site near Laguna Shores measured a gust to 50 knots.
Hail,
Hail,
Hail,
Hail,
Marine Thunderstorm Wind,TCOON site at Corpus Christi Bay platform measured gusts to 38 knots.
Marine Thunderstorm Wind,Weatherflow site at Sunset Lake Park on Corpus Christi Bay measured a gust to 38 knots.
Marine Thunderstorm Wind,NOS site at Rockport measured a gust to 39 knots.
Marine Thunderstorm Wind,TCOON site at Baffin Bay measured a gust to 40 knots.
Marine Thunderstorm Wind,TCOON site at South Bird Island measured a gust to 37 knots.
Marine Thunderstorm Wind,TCOON site at South Bird Island measured a gust to 36 knots.
Hail,Video sent from the public showed quarter size hail in Driscoll.
Waterspout,Public submitted pictures of a waterspout offshore of Port Aransas.
Marine Thunderstorm Wind,TCOON site at Corpus Christi Bay platform measured a gust to 38 knots.
Thunderstorm Wind,Victoria Regional Airport ASOS measured a gust to 62 mph.
Waterspout,Public relayed pictures via social media of a waterspout off Mustang Island.
Thunderstorm Wind,Thunderstorm winds resulted in two trees down in community of King
Marine Thunderstorm Wind,Marine thunderstorm wind gust was measured at WeatherFlow site XCLP.
Marine Thunderstorm Wind,Marine thunderstorm wind gust was measured at WeatherFlow site XCLP.
Wildfire,One structure was burned in a wildfire that occurred near Boonesville
Wildfire,A fire began in the 15000 block of Budeudy
Wildfire,A fire began just north of Moss Lake
Wildfire,A grass fire began near the city of Itasca
Wildfire,Approximately 40 acres of ranchland were burned in Hopkins County
Thunderstorm Wind,Thunderstorm winds downed a few trees along Williamson Road.
Flash Flood,High water was reported at the underpass of Caddo and Common Streets in Downtown Shreveport.
Thunderstorm Wind,A tree and power lines were downed on Waterfront Drive in Warwick.
Strong Wind,Wires were downed on West Shaddwick Road in Ashaway.
Winter Weather,One to five inches of snow fell across Hartford County.
Winter Weather,Three to seven inches of snow fell across Tolland County.
Winter Weather,Two to four inches of snow fell across Windham County.
Flash Flood,High water was reported at the intersection of Mount Zion Road and Linwood Avenue.
Flash Flood,The intersection of Midway Avenue and Hearne Avenue was flooded and closed.
Flash Flood,West 69th Street was flooded and closed.
Flash Flood,The intersection of Randolph Street and Fairy Street was flooded and closed.
High Wind,Trees on Manning Rod and Castlewood Drive in Billerica and trees on Shore Drive and Fox Road in Dracut were downed by high winds.  An amateur radio operator recorded a wind gust of 66 mph on their home weather station in Dracut.
High Wind,A tree was downed onto a car on Callander and Dodge Streets in Cambridge.  An amateur radio operator recorded a wind gust of 61 mph at their home weather station in Chestnut Hill.
Heavy Snow,Eight to ten inches of snow fell across interior Essex County.  In addition
Winter Weather,Four to seven inches of snow fell across coastal Essex County.  In addition
Winter Weather,Two to six inches of snow fell across western Franklin County.
Heavy Snow,Four to seven inches of snow fell across eastern Franklin County.
Heavy Snow,Four to ten inches of snow fell across eastern Hampden County.
Heavy Snow,Between 3 and 4 inches of snow fell across the county.
Heavy Snow,Between 4 and 5 inches of snow fell across the county.
Heavy Snow,Between 4 and 5 inches of snow fell across the county.
Heavy Snow,Between 4 and 5 inches of snow fell across the county.
Heavy Snow,Between 4 and 5 inches of snow fell across the county.
Heavy Snow,Between 4 and 5 inches of snow fell across the county.
Heavy Snow,Between 2 and 4 inches of snow fell across the county.
Heavy Snow,Between 2 and 4 inches of snow fell across the county.
Heavy Snow,Between 5 and 6 inches of snow fell across the county.
Winter Storm,
Winter Storm,
Winter Storm,
High Wind,
High Wind,
High Wind,
High Wind,
High Wind,
Tornado,A weak tornado damaged a few mobile homes and shifted one mobile home off its foundation. It also snapped trees and large branches.  It continued into Marion County before lifting. Maximum wind speeds in Pearl River County were estimated at 90 mph.
Tornado,A weak tornado touched down near Donley Burks Road west of Highway 43 and moved northeastward. Minor to moderate damage was noted on 5 homes with numerous trees downed and uprooted in rural parts of the County. A tin roof was also torn off of one home. The tornado lifted near Osborn Moody Road. Maximum wind speeds were estimated near 100 mph.
Tornado,A weak tornado touched down near Montpelier and tracked northeast shifting a mobile home off its block piers and damaging the roof.  It also destroyed a metal shed and snapped a few small trees. It lifted near Jackson Lane. Maximum wind speed was estimated near 85 mph.
Winter Weather,An estimated 1.5 inches of snow fell 20 miles south of Jasper.
Tornado,This weak and brief tornado touched down in the Southern Oaks subdivision just off Pinehaven Drive. A few cedar trees were snapped and the top of one hardwood tree was blown off. Additional large limbs were broken. The tornado continued to the northeast into a wooded area before lifting. A brief tornadic debris signature (TDS) was observed as well. The maximum estimated wind speed was 75mph.
Flash Flood,Water covered several areas of a campground along the Homochitto River near Eddiceton. Some water rescues took place.
Thunderstorm Wind,A mobile home was destroyed on Norton Road. Five homes had minor damage. Some trees were snapped.
Thunderstorm Wind,A large tree fell through a home on Keithville Mount Bethel Church Road near Keithville. The tree also damaged a car parked in front of the home.
Thunderstorm Wind,A 60 foot tall tree was blown down in front of a home in the 100 block of East Merrick in Shreveport.
Hail,No damage was reported.
Hail,No damage was reported.
Hail,
Hail,A NWS employee reported one inch hail at Star
Heavy Snow,A trained spotter and social media reported five to six inches of snow around the Jerome and Twin Falls areas.
Heavy Snow,The coop observer at Murphy Hot Springs reported nine inches of snow.
Hail,A severe thunderstorm produced hail up to golf ball size at the Country Hills Estates
Thunderstorm Wind,A large tree fell onto a home on New York Avenue in Deland during a late night thunderstorm. A large limb crashed through the roof of the home and penetrated into a bathroom. Winds were estimated near 50 mph.
Flash Flood,Significant flash flooding affected southern Giles County. Several roads were impassable and closed due to flooding
Hail,The public reported hail up to the size of quarters on Highway 25 near Womack Road.
Hail,The public reported hail up to the size of quarters near the town of Denmark.
Thunderstorm Wind,Screven County dispatch reported a residential structure roof collapse on Captola Road near Wagon Road. No injuries were reported.
Thunderstorm Wind,Screven County dispatch reported multiple trees down along Halcyondale Road.
Thunderstorm Wind,Jasper County dispatch reported a tree down on Grays Highway near the intersection with Log Hall Road.
Hail,
Hail,
Hail,
Hail,
Hail,
Hail,
Hail,
Thunderstorm Wind,Damaging thunderstorm winds blew shingles off of a manufactured home and tipped a construction trailer on its side.  The strong winds also damaged large overhead doors.
Hail,
Hail,
High Wind,A peak wind gust was reported at Salinas Peak. Other wind gusts recorded included 69 mph at Northrup Strip and 61 mph sixteen miles north-northwest of Northrup Strip.
High Wind,A peak gust of 78 mph was recorded at San Augustin Pass.  Other wind gusts across the zone included 72 mph one mile southeast of the White Sands Main Post
High Wind,A peak gust of 61 mph was reported about 6 miles northeast of Road Forks.
High Wind,A peak wind gust of 59 mph was reported 5 miles northeast of downtown El Paso. A peak gust of 58 mph was recorded 10 miles north-northeast of El Paso at 3 am on March 23rd.
Hail,Half dollar sized hail fell in Necedah.
Hail,
Flood,Runoff from melting snow pushed the Yellow River out of its banks in Necedah. The river crested at 15.7 feet
Flood,Minor street flooding was reported in town.
Flood,Minor street flooding was reported in town and in low-water crossings.
Hail,The hail occurred at the park ranger's office.
Hail,
Hail,
Hail,The time of the report was estimated per radar.
Hail,
Strong Wind,
Strong Wind,
Strong Wind,
Strong Wind,Scattered tree limbs down.
Strong Wind,Scattered tree limbs down.
Strong Wind,Scattered tree limbs down.
High Wind,Scattered downed trees and limbs across the county with some falling on power lines.
High Wind,Reported by Brushy Run.
Dense Fog,W13 reported quarter mile or less visibilities.
Dense Fog,W99 reported reduced visibilities of one quarter mile or less.
Dense Fog,HEF reported reduced visibilities of one quarter mile or less.
Dense Fog,JYO reported reduced visibilities of one quarter mile or less.
Dense Fog,FDK reported reduced visibilities of one quarter mile or less.
Dense Fog,MRB reported reduced visibilities of one quarter mile or less.
Dense Fog,FDK reported reduced visibilities of one quarter mile or less.
Winter Storm,Trained spotter reported a storm total of 6 inches over 12 hours.
Heavy Snow,Heavy SNOTEL snow amounts for the storm were:  Bear Canyon 18 inches
Heavy Snow,The Phillips Bench SNOTEL received 11 inches of snow and the White Elephant site received 16 inches.
Heavy Snow,Heavy snow amounts recorded were 10 inches at Bostetter Ranger Station and 17 inches at Howell Canyon.
Heavy Snow,SNOTEL snow amounts were:  17 inches at Dollarhide Summit
Heavy Snow,A strong upper level low moving through Utah brought extremely heavy and wet snow to the Eastern Magic Valley.   The snow caused extensive tree damage due to its very wet nature.   All schools in Minidoka and Cassia Counties were closed on March 29th.  Amounts recorded were 14 to 16 inches in Declo
Heavy Snow,An upper level low moving through Utah brought extremely heavy snow to the region.   Spotters reported 12 inches in Malta with drifts over two feet.   13 inches were reported in Albion.   SNOTEL mountain amounts were 14 inches at Bostetter Ranger Station
Heavy Snow,Very heavy snowfall fell in the Caribou Highlands with spotters reporting 10 to 16 inches in Soda Springs
High Surf,
High Surf,
High Surf,
High Surf,
High Surf,
High Wind,Cannon Air Force Base.
High Wind,Melrose Bombing Range.
Winter Storm,The Takka Wiiya SNOTEL near the Utah/Nevada border received 2.10 inches liquid equivalent precipitation
High Wind,Strong winds were observed ahead of the cold front in far southwest Utah
Hail,
Frost/Freeze,Freezing temperatures between 25 and 28 degrees occurred. The average duration was around 10 hours. Widespread damage to fruit trees and bushes was noted across the county. Winter wheat
Thunderstorm Wind,A roof was damaged to a home on County Road 3300 northeast of Annona. Large tree limbs were downed as well.
Funnel Cloud,A funnel cloud was reported near the intersection of Highway 82 and County Road 3210 in Annona. However
Hail,Nickel size hail fell in Ringgold.
Thunderstorm Wind,Several trees down across the roads in Arcadia.
Hail,Broadcast media reported nickel-sized hail near the intersection of Hwy 84 and FM 1996.
Hail,Broadcast media reported nickel to dime sized hail covering the ground on FM 929.
Hail,A trained spotter reported quarter to half-dollar sized hail in Ireland
Thunderstorm Wind,Emergency management reported outbuildings and power lines blown down on Cemetery Road in Pottsboro
Hail,
Hail,
Frost/Freeze,Freezing temperatures between 25 and 28 degrees occurred. The average duration was around 10 hours. Widespread damage to fruit trees and bushes was noted across the county. Winter wheat
Frost/Freeze,Freezing temperatures between 25 and 28 degrees occurred. The average duration was around 10 hours. Widespread damage to fruit trees and bushes was noted across the county. Winter wheat
Winter Storm,Snowfall ranging from 8 to 12 inches
Winter Storm,Snowfall ranging from 5 to 11 inches
Winter Weather,Snow
Winter Weather,Snow
Winter Weather,Snow
Winter Storm,A trained spotter in Sidney reported four tenths of an inch of ice accumulation that resulted in several downed tree limbs and power lines.
Winter Storm,Up to four tenths of an inch of ice accumulation was reported that resulted in several downed tree limbs and power lines.
Winter Storm,A CoCoRaHs observer reported 5.5 inches of heavy wet snow near Scottville.
Winter Storm,Around 5 to 6 inches of heavy wet snow and light freezing rain was reported.
Winter Storm,Around 5 to 6 inches of heavy wet snow and light freezing rain was reported.
Winter Storm,Around 5 to 6 inches of heavy wet snow and light freezing rain was reported.
Marine Thunderstorm Wind,A wind gust of 52 mph was measured on the Florida Bay side
Marine Thunderstorm Wind,A wind gust of 36 knots was measured at an automated WeatherFlow station at Smith Shoal Light.
Thunderstorm Wind,Public reported trees were blown down in Gregory.
Flash Flood,A foot of water was flowing over the road near the intersection of Prinston Drive and Mount Vernon Drive in Corpus Christi.
Thunderstorm Wind,A large tree was blow on to a mobile home on Leary Lane and damaged the home.
Flash Flood,Pictures and video showed a vehicle in flood waters on Carancahua Street in downtown Corpus Christi.
Thunderstorm Wind,Straight line winds removed shingles from a funeral home just north of Tunica.
Hail,Penny to quarter size hail fell in Hernando.
Hail,
Hail,
Hail,Quarter size hail fell in the Old Union Community.
Hail,
Hail,
Hail,Just north of Detroit
Hail,
Hail,
Hail,
Hail,
Extreme Cold/Wind Chill,
Extreme Cold/Wind Chill,
Extreme Cold/Wind Chill,
Flood,Heavy rain and snow melt upon a frozen ground caused the Kripplebush Creek to overflow its banks and flow across County Route 2 near Stone Ridge.
Flood,State Route 149 and County Route 41 in Kingsbury were closed due to flooding from heavy rain falling upon a frozen ground.
Hail,
Thunderstorm Wind,A tree was blown down at 244 Melissa Avenue.
Thunderstorm Wind,A tree was blown down at 1060 Highway 13 North.
Tornado,The tornado began west of Hinze-Rural Hill Road near Lobutcha Creek. It snapped several softwood trees and uprooted a few hardwood trees. The tornado then tracked along Hinze Road where it continued to cause tree damage before lifting. The maximum estimated wind speed was 105mph.
Dense Fog,
Dense Fog,
Dense Fog,
Dense Fog,
Dense Fog,
Dense Fog,
Dense Fog,
Dense Fog,
Dense Fog,
Strong Wind,
Strong Wind,
Strong Wind,
Strong Wind,
Strong Wind,
Blizzard,The combination of sustained winds of 30 to 35 mph
Blizzard,The combination of sustained winds of 30 to 35 mph
Blizzard,The combination of sustained winds of 35 to 40 mph
Blizzard,The combination of sustained winds of 30 to 35 mph
Winter Storm,The combination of sustained winds of 35 to 40 mph
Winter Storm,Several sources from local airport observations
Winter Storm,Several sources from spotters
Winter Storm,Several sources from local airport observations
Flood,Minor to moderate flooding of the south fork of the Little River occurred. At the river gage at the Highway 68/80 bridge
Heavy Rain,Water was over numerous back roads on the south side of Calloway County. Most of these roads were passable. A trained spotter about 8 miles northeast of Murray measured 0.8 inches in 30 minutes. The daily rainfall total at the Kentucky mesonet site near Murray was 1.46 inches.
Winter Weather,
Winter Weather,
Strong Wind,Estimated and measured wind gusts of 40 to 45 mph impacted the region with isolated tree limbs and powerlines downed by these winds.
Strong Wind,Estimated and measured wind gusts of 40 to 45 mph impacted the region with isolated tree limbs and powerlines downed by these winds.
Strong Wind,Estimated and measured wind gusts of 40 to 50 mph impacted the region with scattered to numerous tree limbs and powerlines downed by these winds.
Flood,An ice jam caused flooding in Hardwick along Route 15. Residences along Wolcott Street were evacuated due to high water. A nearby car dealer was inundated
Flash Flood,Numerous county roads were flooded and closed.
Flash Flood,Farm to Market Road 779 between Highway 69 and Highway 37 northwest of Mineola was closed due to flooding.
Flash Flood,Farm to Market Road 1804 from east of Highway 69 northeast of Lindale to the Sabine River at the Wood County line was closed due to flooding.
Blizzard,
Blizzard,
Blizzard,
Flash Flood,Farm to Market Road 2064 from south of Farm to Market Road 2750 to east of Highway 135 was closed due to flooding.
High Wind,ASOS and AWOS airport observations generally along and north of Interstate 80  indicated wind gusts of 50 to 60 mph through the 11 am to 3 pm period
High Wind,ASOS and AWOS airport observations roughly along and north of Interstate 80  indicated wind gusts of 50 to 60 mph through the 11 am to 3 pm period
Heavy Snow,Storm total snow accumulations ranged from 8 to 13 inches.
Heavy Snow,Storm total snow accumulations ranged from 10 to 13 inches.
Heavy Snow,Storm total snow accumulations ranged from 6 to 11 inches.
Flash Flood,The Highway 259 Bypass Ramp in northeast Kilgore was closed due to flooding. Traffic was detoured to Farm to Market Road 349.
Winter Weather,The cooperative observer near Versailles measured an inch of snow. The CoCoRaHS observer east of Pitsburg measured 0.8 inches
Winter Storm,A public report from Pleasantville showed that 6 inches of snow fell there. A social media post from Sugar Grove had 5 inches of snow there
Winter Weather,The cooperative observer and a CoCoRaHS near Springfield measured an inch of snow
Winter Weather,A social media post from Wetherington showed 3.5 inches of accumulation. A spotter north of Beckett Ridge had 2.5 inches
Winter Weather,The ODOT county garage in Georgetown measured 3 inches of snow
Strong Wind,
Strong Wind,
Strong Wind,
Strong Wind,
Heavy Snow,
Winter Weather,Snow amounts of 1 to around 3 inches were measured across Rutherford County. A COOP observer measured 0.9 inches of snow 5 miles north of Murfreesboro. CoCoRaHS station La Vergne 2.1 SW measured 3.2 inches of snow
Winter Weather,Snow amounts of 1 to 3 inches were measured across Van Buren County. A COOP observer measured 2.5 inches of snow at Fall Creek Falls.
Winter Weather,Snow amounts up to 1 inch were measured across Wayne County. A COOP observer measured 0.7 inches of snow in Waynesboro.
Winter Weather,Snow amounts up to around 1 inch were measured across Lewis County. CoCoRaHS station Hohenwald 4.0 WNW measured 1.1 inches of snow.
Winter Weather,Snow amounts up to around 1 inch were measured across Maury County. CoCoRaHS station  Columbia 1.2 SSW measured 0.9 inches of snow.
High Wind,
High Wind,
High Wind,
High Wind,
Hail,
Hail,
Hail,
Hail,
Hail,
Hail,
Lake-Effect Snow,Cold northwest winds blowing across Lake Erie caused lake effect snow showers to develop during the evening hours of February 9th. The snow began to intensify during the early morning hours of the 10th. Heavy snow fell during the daylight hours of the 10th with visibilities most of the time under a mile and sometimes as low as a quarter mile. Snowfall rates during that period were in excess of an inch per hour. Scattered snow showers continued into the afternoon hours of the 11th but most of the snow accumulation fell before midnight on the 11th.   Snowfall totals of 6 to 10 inches were reported over much of Erie County and the northern half of Crawford County. In inland Erie County
Heavy Snow,
Winter Storm,
Winter Storm,
Winter Storm,
Winter Storm,
Strong Wind,A tree was downed by high winds into a yard in Lynn
High Wind,Wires on Alden Road in Fairhaven were downed by high winds.  A tree was downed onto wires on Brock Avenue in New Bedford.  A tree on Old Fall River Road in Dartmouth was downed
Dense Fog,Hanford Airport (KHJO) ASOS reported less than 1/4 mile visibility.
Dense Fog,Visalia Airport (KVIS) AWOS reported less than 1/4 mile visibility.
Dense Fog,Fresno Airport (KFAT) ASOS reported less than 1/4 mile visibility.
Marine Thunderstorm Wind,TCOON site at Packery Channel measured a gust to 35 knots.
Marine Thunderstorm Wind,Hurricane Weatherflow site southeast of Waldron Field measured a gust to 40 knots.
Marine Thunderstorm Wind,Hurricane Weatherflow site near Laguna Shores measured a gust to 35 knots.
Marine Thunderstorm Wind,NOS site at Bob Hall Pier measured a gust to 43 knots.
Marine Thunderstorm Wind,NOS site at Bob Hall Pier measured a gust to 41 knots.
Flash Flood,Emergency management reported a high water rescue near the intersection of FM 4 and Lakeview Dr.
Hail,
Hail,Quarter size hail covered the ground to a depth of one inch.
Hail,Hail up to 1.75 inches in diameter fell near Princeton
Hail,
Hail,Hail covered the ground
Tornado,This tornado touched down and crossed Graham Road and downed several trees. The tornado then tracked through a wooded area and crossed Highway 16 on the west side of Scooba. Here more trees were snapped or uprooted along with a few power poles that were pushed over. The tornado impacted the west side of Scooba and the western part of East Mississippi Community College. Here the baseball field fence was torn down along with some of the field buildings damaged. Two mobile buildings were heavily damaged in this area. Numerous trees were damaged along with a couple homes with minor roof damage. The tornado then crossed Highway 45 where more trees were snapped. The tornado reached its peak intensity as it approached and crossed Old Highway 45 Road. Dozens of trees were snapped or uprooted along the path and one well-built barn was totally destroyed. There was also a grove of pine trees that sustained extensive damage where roughly 85% were snapped leaving very little standing. At this location
Wildfire,Multiple fire departments battled a structure fire in southern Hunt County
Heavy Snow,
Flash Flood,Numerous roads were flooded throughout Monroe and West Monroe. High water was encroaching on homes that were flooded a month earlier in March.
Flash Flood,The flood gates are open in the Treasure Island area of Monroe
Flash Flood,The intersection of Fern Avenue and East 70th Street was closed due to high water.
Flash Flood,Heavy rain caused water to flow over the roadway at Mosley Bridge Road.
Flash Flood,Nearly a foot of water covered Tynneside Way in South Shreveport.
Thunderstorm Wind,A large tree was blown down across McGaughey Road near Hudson.
Thunderstorm Wind,A tree and a utility pole on Bethany Road in Monson were downed by thunderstorm winds.
High Wind,A tree was downed onto wires in Stoughton by high winds.  In Foxboro
High Wind,A tree on Old Washington Street in Pembroke was downed by high winds.  Multiple trees and wires on Shaw Avenue at Barry Road in Abington.
Winter Weather,Four to five inches of snow fell across western Hampshire County.
Winter Weather,Two to four inches of snow fell across eastern Hampshire County.
Heavy Snow,Five to eleven inches of snow fell across western Middlesex County.  In addition
Heavy Snow,Six to nine inches of snow fell across southeastern Middlesex County.  In addition
